abed, axe
nana, baba
nap, bal
nape, bal
nappe, ball
neap, bal
near, bap
neat, bay
neddy, beef
needed, bee
needle, ben
needled, bene
negs, bio
ness, boo
nest, boy
nests, boyo
netop, byrl
newest, boy
newsmen, bomb
noes, bro
nogs, brio
noo, brr
nos, bro
nose, bro
noses, broo
nows, bro
oak, rat
oaks, rato
oar, rap
oared, rape
oat, ray
odah, read
odd, ree
ogive, rick
ogle, rin
ogre, rip
owsen, rob
ozalid, rance
pah, lad
paid, lace
paled, lane
pam, lam
pan, lab
pane, lab
panga, labia
par, lap
pare, lap
pat, lay
pate, lay
paved, lake
paveed, lake
pawer, lap
pawn, lab
pawnee, lab
peak, lat
peaked, late
pealed, lane
pean, lab
pear, lap
peat, lay
pedal, lean
pseud, loge
psis, loco
qaid, ace
quad, gae
quaere, gap
quake, gat
quaked, gate
quale, gan
quant, gaby
quare, gap
quart, gapy
quarte, gapy
quartz, gapy
quate, gay
quean, gab
quest, goy
quezal, gan
rah, pad
rai, pac
raia, paca
raid, pace
raj, pah
rake, pat
raked, pate
rakee, pat
rale, pan
ram, pam
ramee, pam
rap, pal
rape, pal
raped, pale
raper, palp
rappee, pall
rapt, paly
rare, pap
rat, pay
rate, pay
rawer, pap
razer, pap
real, pan
ream, pam
reap, pal
reaped, pale
reaper, palp
rear, pap
reawoke, part
redd, pee
redder, peep
reddle, peen
reded, pee
redial, pecan
redo, per
redrew, pep
reeded, pee
reefer, pup
refeel, pun
refel, pun
refelt, puny
refer, pup
referee, pup
reflet, puny
reflew, pun
refreeze, pup
regal, pian
regale, pian
regales, piano
regive, pick
reglaze, pina
reglet, piny
reglue, ping
reglues, pingo
regma, pima
regreet, pipy
regret, pipy
regrew, pip
repaid, place
repeal, plan
repealed, plane
repeat, play
reseek, pot
resees, poo
reseizes, poco
resews, poo
resh, pod
resizes, poco
resod, pore
resole, porn
resoles, porno
resowed, pore
rewake, pat
rewaked, pate
rewear, pap
roam, pram
roes, pro
rogue, prig
rose, pro
rosy, prof
rot, pry
rote, pry
rows, pro
sake, oat
save, oak
say, oaf
seeled, one
seels, ono
seeped, ole
sels, ono
send, obe
senega, obia
sensed, oboe
serape, opal
sered, ope
sewered, ope
sha, oda
shaw, oda
shea, oda
shed, ode
shewed, ode
shh, odd
shwa, oda
sled, one
sleeks, onto
slept, only
slewed, one
slews, ono
slid, once
slide, once
snaw, oba
sned, obe
sneezed, obe
sneezeweed, obe
soaked, orate
soap, oral
sod, ore
soke, ort
son, orb
sone, orb
sowed, ore
sown, orb
sped, ole
speed, ole
speeds, oleo
spewed, ole
sudd, ogee
sueded, ogee
sway, oaf
syke, oft
taj, yah
tam, yam
tame, yam
tao, yar
tar, yap
tare, yap
tat, yay
tate, yay
tau, yag
tav, yak
tawer, yap
team, yam
tear, yap
teat, yay
twat, yay
tweedle, yen
tzar, yap
ugh, gid
upgaze, glia
upsend, globe
uses, goo
usques, gogo
van, kab
vane, kab
vara, kapa
vat, kay
vats, kayo
vealed, kane
veejay, khaf
velar, knap
wailed, acne
waked, ate
waled, ane
walk, ant
walked, ante
walla, anna
waltz, any
wanes, abo
wanned, abbe
wans, abo
want, aby
wanted, abye
ward, ape
wared, ape
wares, apo
wark, apt
wars, apo
wawled, ane
weald, ane
weans, abo
wearer, app
wears, apo
wekas, tao
welded, nee
welsh, nod
welshed, node
wended, bee
wergeld, pine
wergelt, piny
wetware, yap
whale, dan
wham, dam
whap, dal
what, day
wheal, dan
wheat, day
wheedle, den
wheedled, dene
wider, cep
widowed, cere
widows, cero
wifed, cue
wiser, cop
wises, coo
wish, cod
wisha, coda
wished, code
wisp, col
wisped, cole
wiss, coo
wist, coy
wizard, cape
wodge, rei
wrap, pal
wrapt, paly
wreak, pat
wreaked, pate
wrote, pry
wuss, goo
wussy, goof
yah, fad
yak, fat
yald, fane
yawl, fan
yawled, fane
yawls, fano
yawn, fab
yeah, fad
yeahs, fado
yean, fab
yowes, fro
yows, fro
zanza, aba
zazens, abo
zenana, baba
zeroes, pro
zeros, pro
zoeal, ran
